"";"Status";"Credit.history";"Purpose";"Savings.account";"Installment.rate";"Personal.status.and.sex";"Number.of.existing.credits";"Job";"Number.of.people";"foreign.worker";"Class"
"796";"no checking account";"existing credits paid back duly till now";"radio/television";"100-500 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"797";"<0 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";1;"male: single";1;"skilled employee / official";2;"yes";2
"798";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"799";"no checking account";"delay in paying off in the past";"car (new)";"unknown/ no savings account";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"800";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"801";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";4;"male: single";2;"skilled employee / official";2;"yes";1
"802";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"803";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"804";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"805";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";1;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";1
"806";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"807";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: married/widowed";1;"unskilled - resident";1;"no";1
"808";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";4;"skilled employee / official";1;"yes";1
"809";"0-200 DM";"all credits at this bank paid back duly";"car (used)";"<100 DM";1;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"810";"0-200 DM";"no credits taken/all credits paid back duly";"car (new)";"<100 DM";2;"female: divorced/separated/married";2;"unemployed/ unskilled  - non-resident";1;"yes";2
"811";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"812";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"813";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"814";"<0 DM";"existing credits paid back duly till now";"repairs";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";2
"815";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"816";"0-200 DM";"delay in paying off in the past";"car (new)";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"817";"no checking account";"existing credits paid back duly till now";"repairs";"500-1000 DM";1;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"818";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"819";"<0 DM";"existing credits paid back duly till now";"furniture/equipment";"<100 DM";2;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"820";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"821";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"822";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"823";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";2;"yes";2
"824";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"825";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";3;"male: divorced/separated";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"826";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"827";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"female: divorced/separated/married";3;"skilled employee / official";1;"yes";2
"828";"no checking account";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"male: single";2;"skilled employee / official";2;"yes";2
"829";"<0 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";3;"male: single";1;"skilled employee / official";1;"yes";2
"830";"0-200 DM";"delay in paying off in the past";"business";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";2;"yes";1
"831";"no checking account";"delay in paying off in the past";"business";"500-1000 DM";4;"male: single";2;"skilled employee / official";2;"yes";1
"832";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"833";"<0 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"834";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"835";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"836";"<0 DM";"no credits taken/all credits paid back duly";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"837";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"838";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";2;"yes";1
"839";"<0 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"840";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"841";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"842";"no checking account";"delay in paying off in the past";"car (used)";"<100 DM";3;"male: single";2;"unskilled - resident";1;"yes";1
"843";"no checking account";"existing credits paid back duly till now";"education";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"844";"no checking account";"all credits at this bank paid back duly";"business";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"845";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";3;"skilled employee / official";2;"yes";1
"846";"0-200 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";2;"male: single";1;"skilled employee / official";1;"yes";1
"847";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";2;"male: single";2;"skilled employee / official";1;"yes";2
"848";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"849";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"850";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"851";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: married/widowed";2;"skilled employee / official";1;"no";2
"852";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";1;"yes";1
"853";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"854";"<0 DM";"all credits at this bank paid back duly";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";2;"yes";2
"855";"no checking account";"delay in paying off in the past";"car (new)";"<100 DM";2;"male: single";2;"skilled employee / official";2;"yes";1
"856";"no checking account";"existing credits paid back duly till now";"car (new)";"100-500 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"857";"no checking account";"existing credits paid back duly till now";"retraining";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"858";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"859";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"860";"no checking account";"existing credits paid back duly till now";"car (new)";"100-500 DM";1;"male: single";1;"skilled employee / official";2;"no";1
"861";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";">=1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"862";"no checking account";"delay in paying off in the past";"business";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"863";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"864";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";">=1000 DM";4;"male: single";2;"unskilled - resident";2;"yes";1
"865";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"unskilled - resident";1;"yes";2
"866";"no checking account";"existing credits paid back duly till now";"radio/television";"500-1000 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"867";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"868";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"869";"no checking account";"existing credits paid back duly till now";"business";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";1;"yes";1
"870";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"871";"no checking account";"delay in paying off in the past";"radio/television";"500-1000 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"872";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"skilled employee / official";2;"no";1
"873";"<0 DM";"critical account/other credits existing (not at this bank)";"business";"100-500 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"874";"no checking account";"existing credits paid back duly till now";"repairs";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"875";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";1
"876";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";">=1000 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"877";"<0 DM";"all credits at this bank paid back duly";"domestic appliances";"<100 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"878";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"879";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"880";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";2;"male: single";2;"skilled employee / official";1;"yes";1
"881";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"882";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";2;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"883";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"884";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";2;"unemployed/ unskilled  - non-resident";1;"yes";1
"885";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"886";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"887";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";2;"yes";1
"888";"0-200 DM";"existing credits paid back duly till now";"business";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"889";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"890";"no checking account";"all credits at this bank paid back duly";"car (used)";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";2;"yes";1
"891";"<0 DM";"critical account/other credits existing (not at this bank)";"business";"<100 DM";4;"male: single";4;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"892";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"893";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";1;"no";1
"894";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"895";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"896";"no checking account";"delay in paying off in the past";"car (used)";"unknown/ no savings account";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"897";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"898";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";">=1000 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"no";1
"899";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"900";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"901";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"902";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"unknown/ no savings account";2;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"903";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";2;"male: single";2;"skilled employee / official";1;"yes";1
"904";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"905";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"906";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"907";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";2;"male: single";1;"unskilled - resident";1;"no";1
"908";"0-200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"unknown/ no savings account";2;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"909";"no checking account";"delay in paying off in the past";"car (used)";"<100 DM";1;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"910";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"911";"no checking account";"delay in paying off in the past";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"912";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"913";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"914";"no checking account";"existing credits paid back duly till now";"business";">=1000 DM";1;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"915";"<0 DM";"all credits at this bank paid back duly";"business";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"916";"0-200 DM";"no credits taken/all credits paid back duly";"furniture/equipment";"<100 DM";1;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"no";2
"917";"no checking account";"existing credits paid back duly till now";"car (used)";"100-500 DM";1;"male: single";1;"skilled employee / official";2;"yes";1
"918";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"919";"<0 DM";"existing credits paid back duly till now";"radio/television";"100-500 DM";1;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"920";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"921";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"922";"no checking account";"delay in paying off in the past";"domestic appliances";"500-1000 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"923";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"924";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: single";1;"skilled employee / official";2;"yes";1
"925";"<0 DM";"all credits at this bank paid back duly";"radio/television";"<100 DM";2;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"926";"<0 DM";"all credits at this bank paid back duly";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";2
"927";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"928";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";4;"male: single";3;"skilled employee / official";2;"yes";2
"929";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"930";"<0 DM";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";2;"yes";1
"931";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"unskilled - resident";1;"no";1
"932";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"933";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"934";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"500-1000 DM";4;"male: single";2;"skilled employee / official";2;"yes";1
"935";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"936";"0-200 DM";"delay in paying off in the past";"domestic appliances";"100-500 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"937";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"938";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"939";"0-200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"940";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";2;"male: single";2;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"941";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"942";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: single";1;"unskilled - resident";2;"no";1
"943";"no checking account";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"944";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";3;"unskilled - resident";2;"yes";1
"945";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"946";"0-200 DM";"no credits taken/all credits paid back duly";"car (new)";"500-1000 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"947";"<0 DM";"all credits at this bank paid back duly";"radio/television";"500-1000 DM";4;"male: single";1;"skilled employee / official";2;"yes";2
"948";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"949";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";2;"yes";2
"950";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"951";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"<100 DM";3;"male: married/widowed";3;"unemployed/ unskilled  - non-resident";2;"yes";1
"952";"<0 DM";"delay in paying off in the past";"business";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"953";"0-200 DM";"existing credits paid back duly till now";"car (used)";"500-1000 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"954";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"955";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"956";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";">=1000 DM";4;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"957";">=200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"unskilled - resident";1;"yes";1
"958";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: single";3;"unskilled - resident";1;"yes";1
"959";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: single";1;"unskilled - resident";1;"yes";2
"960";"0-200 DM";"existing credits paid back duly till now";"radio/television";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"961";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"962";"0-200 DM";"delay in paying off in the past";"car (new)";"<100 DM";1;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"963";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";3;"male: single";1;"skilled employee / official";1;"yes";1
"964";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"male: single";2;"skilled employee / official";1;"yes";2
"965";"0-200 DM";"existing credits paid back duly till now";"education";"<100 DM";3;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"966";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"967";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"500-1000 DM";4;"male: single";2;"unskilled - resident";1;"yes";2
"968";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"969";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"970";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"unskilled - resident";2;"yes";1
"971";"0-200 DM";"existing credits paid back duly till now";"education";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"972";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"male: single";1;"unskilled - resident";2;"yes";1
"973";"<0 DM";"all credits at this bank paid back duly";"car (new)";"<100 DM";1;"female: divorced/separated/married";2;"unemployed/ unskilled  - non-resident";1;"yes";2
"974";"<0 DM";"existing credits paid back duly till now";"business";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"975";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"976";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"977";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"978";"0-200 DM";"delay in paying off in the past";"business";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"979";"no checking account";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";2;"yes";2
"980";"0-200 DM";"all credits at this bank paid back duly";"car (new)";"100-500 DM";2;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"981";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"982";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";3;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"983";">=200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";1;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"984";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";1;"skilled employee / official";2;"yes";2
"985";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: single";2;"unskilled - resident";1;"yes";1
"986";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"987";">=200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"988";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"989";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"990";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"991";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"unknown/ no savings account";2;"male: single";2;"unskilled - resident";2;"yes";1
"992";"no checking account";"all credits at this bank paid back duly";"domestic appliances";"100-500 DM";4;"male: single";1;"unskilled - resident";2;"yes";1
"993";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"male: married/widowed";2;"unskilled - resident";1;"yes";1
"994";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"995";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
